mode,nfe,n,nrmse_mean,nrmse_std,obs_residual_mean,obs_residual_std
A_gauss_guided,10,1,2.497659921646118,0.0,0.06210196390748024,0.0
B_info_guided,10,1,4.922174453735352,0.0,0.04051299765706062,0.0
C_info_unguided,10,1,1.3987783193588257,0.0,1.3429720401763916,0.0
A_gauss_guided,20,1,0.041541360318660736,0.0,0.03332798555493355,0.0
B_info_guided,20,1,3.109501838684082,0.0,0.006042886525392532,0.0
C_info_unguided,20,1,1.3987627029418945,0.0,1.3429417610168457,0.0
A_gauss_guided,50,1,0.043653104454278946,0.0,0.034428030252456665,0.0
B_info_guided,50,1,1.3616665601730347,0.0,0.008936058729887009,0.0
C_info_unguided,50,1,1.3987548351287842,0.0,1.3429253101348877,0.0
A_gauss_guided,100,1,0.04385528340935707,0.0,0.03440706059336662,0.0
B_info_guided,100,1,1.2664365768432617,0.0,0.009183617308735847,0.0
C_info_unguided,100,1,1.3987534046173096,0.0,1.342920184135437,0.0
